Altium Designer Pick and Place Locations
C:\Users\19045\Desktop\智能车PCB\智能车\Project Outputs for 智能车\Pick Place for 智能车拼版.txt

========================================================================================================================
File Design Information:

Date:       06/03/24
Time:       16:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment       Layer    Footprint            Center-X(mil) Center-Y(mil) Rotation 
L2         100M          TopLayer 0603L                1904.454      664.283       270      
C16        22uF          TopLayer B型钽电容_3528_21        1215.015      409.188       360      
C13        22uf          TopLayer B型钽电容_3528_21        719.638       745.015       180      
C12        22uF          TopLayer B型钽电容_3528_21        800.015       1760.015      0        
C11        22uF          TopLayer B型钽电容_3528_21        794.189       1965.015      270      
C7         47uF          TopLayer D型钽电容_7343_31        330.015       1565.015      180      
C6         100uF         TopLayer D型钽电容_7343_31        1404.764      1110.015      360      
R31        1k            TopLayer 0805R                3520.015      840.015       90       
R29        1k            TopLayer 0805R                2740.015      365.015       90       
R28        1k            TopLayer 0805R                2666.682      365.015       90       
R27        1k            TopLayer 0805R                2593.349      365.015       90       
R26        1k            TopLayer 0805R                2520.015      365.015       90       
R24        1k            TopLayer 0805R                2875.645      1089.637      180      
R21        1k            TopLayer 0805R                2875.645      1017.404      180      
R19        1k            TopLayer 0805R                2312.500      1005.015      360      
R18        1k            TopLayer 0805R                2312.500      1080.015      360      
R11        1k            TopLayer 0805R                2875.645      1480.015      180      
R10        1k            TopLayer 0805R                2875.645      1400.015      180      
R9         1k            TopLayer 0805R                2312.500      1391.035      360      
R8         1k            TopLayer 0805R                2312.500      1471.035      360      
R7         1k            TopLayer 0805R                805.016       2205.015      360      
R6         1k            TopLayer 0805R                925.015       1970.015      270      
R5         3.9k          TopLayer 0805R                805.016       2120.015      180      
R4         1K            TopLayer 0805R                2875.015      1845.015      180      
R3         1K            TopLayer 0805R                2875.645      1765.015      180      
R2         1k            TopLayer 0805R                2312.500      1760.015      360      
R1         1k            TopLayer 0805R                2312.500      1838.086      360      
U6         HCPL0631      TopLayer SOP_8(OPA)           2605.015      1055.015      180      
U5         HCPL0631      TopLayer SOP_8(OPA)           2600.015      1432.515      180      
U4         9302          TopLayer TO_263_5(10.5*8.4mm) 407.832       1936.078      360      
U3         HCPL0631      TopLayer SOP_8(OPA)           2590.015      1810.015      180      
U1         TPS7633       TopLayer SOP_8(OPA)           1590.015      266.472       360      
U2         LM2663        TopLayer SOP_8(OPA)           1435.015      865.015       90       
S3         SW-SPST       TopLayer 开关                   1793.487      2374.493      270      
S2         "SW DIP-4"    TopLayer 4路拨码开关               3682.535      2015.015      0        
S1         SW-SPST       TopLayer 开关                   312.555       1270.015      270      
R30        1k            TopLayer 0603R                3681.449      1212.600      90       
R25        1k            TopLayer 0603R                3680.015      1529.936      90       
R23        1k            TopLayer 0603R                3404.732      1861.820      180      
R22        1k            TopLayer 0603R                3405.015      1965.015      180      
R20        1k            TopLayer 0603R                3404.526      2067.606      180      
R17        1k            TopLayer 0603R                3404.281      2173.060      180      
R16        3.3k          TopLayer 0603R                1316.547      2165.189      90       
R15        3.3k          TopLayer 0603R                1166.547      2165.189      90       
R14        3.3k          TopLayer 0603R                2925.015      2175.015      90       
R13        2.2k          TopLayer 0603R                2770.015      2170.015      90       
R12        1k            TopLayer 0603R                2620.015      2170.015      90       
Q1         2N3904        TopLayer TO-92A               3650.015      840.015       180      
LS1        Bell          TopLayer 蜂鸣器侧装                3815.015      685.015       90       
LM1        lm2940        TopLayer LM2940               825.015       1070.015      360      
L1         6.8uH         TopLayer CDRH3D16_4.2*1.8     701.016       449.621       180      
J17        CON2          TopLayer 2PIN杜邦插座_1.27mm      3815.015      1215.015      270      
J16        CCD           TopLayer HDR1X5               2140.751      88.371        180      
J15        AD-KEY        TopLayer HDR1X3               745.015       2453.578      360      
J14        BM            TopLayer HDR2X4               2635.620      140.292       360      
J13        CON2          TopLayer 2PIN杜邦插座_1.27mm      3815.015      1535.015      270      
J12        "HEADER 11X2" TopLayer HDR2X11              3201.827      1380.015      270      
J11        "HEADER 11X2" TopLayer HDR2X11              1970.331      1380.015      270      
J10        "HEADER 10X2" TopLayer HDR2X10              2590.015      730.015       180      
J9         bluetooth     TopLayer HDR1X4               3345.015      2455.015      360      
J8         "motor drive" TopLayer HDR2X3               2298.488      2379.493      180      
J7         CON12         TopLayer HDR2X6               1715.015      1015.015      90       
J6         CON12         TopLayer HDR2X6               1715.015      1745.015      270      
J5         OLED          TopLayer HDR1X6               3233.223      90.917        180      
J4         CON4          TopLayer B0505S-2W            954.339       280.015       360      
J3         AD-KEY        TopLayer HDR1X3               2040.331      374.897       180      
J2         -             TopLayer 单面焊盘2*3MM_1PIN       218.681       885.015       90       
J1         -             TopLayer 单面焊盘2*3MM_1PIN       218.681       495.015       90       
H4         固定孔           TopLayer 铜柱孔3                 206.866       191.865       0        
H3         固定孔           TopLayer 铜柱孔3                 3730.173      196.865       0        
H2         固定孔           TopLayer 铜柱孔3                 3730.801      2368.497      0        
H1         固定孔           TopLayer 铜柱孔3                 186.865       2363.165      0        
D9         SS34          TopLayer SS34_3D              3643.204      575.015       270      
D8         LED           TopLayer 0805_Dio             1315.544      2388.126      90       
D7         LED           TopLayer 0805_Dio             1166.547      2388.126      90       
D6         LED           TopLayer 0805_Dio             2920.015      2395.015      270      
D5         LED           TopLayer 0805_Dio             2767.007      2392.952      90       
D4         LED           TopLayer 0805_Dio             2618.010      2392.952      90       
D3         SS34          TopLayer 0805_Dio             654.339       1594.120      90       
D2         SS34          TopLayer 0805_Dio             654.339       1405.537      270      
D1         SS34          TopLayer 0805_Dio             1507.871      442.962       360      
C17        104           TopLayer 0805C                3520.015      530.645       90       
C15        0.1uF         TopLayer 0805C                1025.015      410.015       180      
C14        0.1uF         TopLayer 0805C                687.158       620.015       180      
C10        4.7uF         TopLayer 0805C                840.015       449.385       270      
C9         0.1uF         TopLayer 0805C                925.015       1495.645      270      
C8         22uf          TopLayer C型钽电容_6032_28        795.015       1500.015      90       
C5         0.1uF         TopLayer 0805C                1470.645      1250.015      180      
C4         10uF          TopLayer 0805C                1260.015      934.385       270      
C3         47uF          TopLayer C型钽电容_6032_28        1405.015      625.015       360      
C2         4.7uF         TopLayer 0805C                1800.015      265.645       90       
C1         4.7uF         TopLayer 0805C                1684.897      449.543       360      
L2         100M          TopLayer 0603L                1904.454      3234.312      270      
C16        22uF          TopLayer B型钽电容_3528_21        1215.015      2979.218      360      
C13        22uf          TopLayer B型钽电容_3528_21        719.638       3315.045      180      
C12        22uF          TopLayer B型钽电容_3528_21        800.015       4330.045      0        
C11        22uF          TopLayer B型钽电容_3528_21        794.189       4535.045      270      
C7         47uF          TopLayer D型钽电容_7343_31        330.015       4135.045      180      
C6         100uF         TopLayer D型钽电容_7343_31        1404.764      3680.045      360      
R31        1k            TopLayer 0805R                3520.015      3410.045      90       
R29        1k            TopLayer 0805R                2740.015      2935.045      90       
R28        1k            TopLayer 0805R                2666.682      2935.045      90       
R27        1k            TopLayer 0805R                2593.349      2935.045      90       
R26        1k            TopLayer 0805R                2520.015      2935.045      90       
R24        1k            TopLayer 0805R                2875.645      3659.667      180      
R21        1k            TopLayer 0805R                2875.645      3587.434      180      
R19        1k            TopLayer 0805R                2312.500      3575.045      360      
R18        1k            TopLayer 0805R                2312.500      3650.045      360      
R11        1k            TopLayer 0805R                2875.645      4050.045      180      
R10        1k            TopLayer 0805R                2875.645      3970.045      180      
R9         1k            TopLayer 0805R                2312.500      3961.065      360      
R8         1k            TopLayer 0805R                2312.500      4041.065      360      
R7         1k            TopLayer 0805R                805.016       4775.045      360      
R6         1k            TopLayer 0805R                925.015       4540.045      270      
R5         3.9k          TopLayer 0805R                805.016       4690.045      180      
R4         1K            TopLayer 0805R                2875.015      4415.045      180      
